Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
1997,2,0.2191780821917808,40.0,2.0,-0.008585812665996704,0.0036951184765268304,-0.4829489164086658,0.18441950464395723,-25.359999999999673
1998,2,0.16712328767123288,30.5,16.5,-0.007769641914026832,0.005861364519885612,-0.5159523809523856,0.15595238095238234,-28.220000000000255
1999,2,0.10410958904109589,19.0,4.0,-0.0017290797783172955,0.0005587085481702648,-0.23473684210524004,0.014736842105274775,-4.739999999999782
2000,4,0.15616438356164383,14.25,2.8613807855648994,-0.0012951374933809188,0.0004302165535251646,-0.26049350649351244,0.02295287655352945,-3.519999999999982
2001,1,0.1506849315068493,55.0,0.0,-0.006998741094813512,0.0,-0.2737735849056645,0.0,-14.510000000000218
2002,1,0.2219178082191781,81.0,0.0,-0.01702812483436844,0.0,-0.4589610389610379,0.0,-35.33999999999992
2003,1,0.14246575342465753,52.0,0.0,-0.014142036915725744,0.0,-0.5991836734693857,0.0,-29.3599999999999
2004,1,0.15342465753424658,56.0,0.0,-0.014916096954630222,0.0,-0.5841509433962271,0.0,-30.960000000000036
2005,3,0.29863013698630136,36.333333333333336,4.027681991198191,-0.004434398753213023,0.0032870478758450588,-0.26746067755595404,0.18058957289005426,-17.59999999999991
2006,2,0.18904109589041096,34.5,6.5,-0.0055959186427391675,0.00011376940859943304,-0.3948903508771834,0.09594298245613936,-11.779999999999745
2007,1,0.2219178082191781,81.0,0.0,-0.012372157584754375,0.0,-0.3333766233766243,0.0,-25.670000000000073
2008,2,0.16986301369863013,31.0,20.0,-0.006267699785533137,0.005429137486137365,-0.3976041666666864,0.10760416666664699,-24.25
2009,3,0.21643835616438356,26.333333333333332,12.81492185782739,-0.004305169200242942,0.003475457549494009,-0.3630595076784096,0.07215532240356082,-18.999999999999773
2010,1,0.13972602739726028,51.0,0.0,-0.011825073786145557,0.0,-0.5217021276595741,0.0,-24.519999999999982
2011,2,0.1506849315068493,27.5,0.5,-0.006396372353391762,0.0022582417466588947,-0.5752173913043387,0.2021739130434723,-17.879999999999654
2012,2,0.24383561643835616,44.5,8.5,-0.008129050593092846,0.004657387857070988,-0.374558823529414,0.16544117647058673,-26.460000000000036
2013,2,0.21643835616438356,39.5,13.5,-0.00661347134033376,0.003274790336127749,-0.3552521739130502,0.05394782608695056,-20.460000000000036
2014,2,0.1643835616438356,30.0,4.0,-0.006530897482057752,0.0031200821141184882,-0.4937424242424192,0.17192424242424073,-19.9699999999998
2015,3,0.18356164383561643,22.333333333333332,11.8133634311129,-0.004628410947398086,0.004449059761152579,-0.43196969696969223,0.17565945536972946,-22.610000000000127
2016,2,0.14794520547945206,27.0,3.0,-0.004548439818774435,0.002289505226731472,-0.3689983164983087,0.15581649831650876,-14.170000000000073
2017,4,0.32054794520547947,29.25,16.37643123516232,-0.0026954243948841073,0.002730171330506484,-0.3789126984127773,0.3156096599964542,-14.799999999999727
2018,4,0.20821917808219179,19.0,18.587630295441105,-0.0024900576064252958,0.003920370338517344,-0.1986436170212743,0.13148345768005668,-19.25
2019,4,0.25205479452054796,23.0,20.796634343085422,-0.0026860205605112324,0.004082541480578151,-0.19131578947368574,0.12790457329871532,-20.25
2020,3,0.2958904109589041,36.0,36.76955262170047,-0.0027515560959975598,0.0032868257815576274,-0.1458118187033631,0.027467831627629457,-15.320000000000164
