Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
2000,19,0.4712328767123288,9.052631578947368,3.8726257135046636,-0.0006661557868080399,0.0004812580403927141,-0.277327485380105,0.1613963092724003,-3.9600000000000364
2001,21,0.5150684931506849,8.952380952380953,4.725575706687725,-0.0005677237356643141,0.00043051969947535186,-0.2351249491249508,0.1553501169664168,-4.3900000000001
2002,15,0.4410958904109589,10.733333333333333,5.57932692077538,-0.0008063712083042373,0.0004819940389101303,-0.28519782933116866,0.15705959175021703,-4.4500000000000455
2003,18,0.4575342465753425,9.277777777777779,3.2796604762545427,-0.0005426833861483626,0.00030904345694732086,-0.24509592259592095,0.17090327354666116,-2.660000000000082
2004,17,0.4383561643835616,9.411764705882353,5.088150288307273,-0.0006536090825294744,0.0004971218873914627,-0.24933095238094924,0.09748818428796005,-4.6099999999999
2005,22,0.5698630136986301,9.454545454545455,4.064561619292392,-0.0009007385935054218,0.0005545545173664019,-0.30132838121474587,0.1297707485743877,-4.259999999999991
2006,12,0.4657534246575342,14.166666666666666,13.897441810955314,-0.0024890547492366984,0.005240301487077032,-0.26040745091896816,0.13969547722292444,-37.65000000000009
2007,12,0.36164383561643837,11.0,4.301162633521313,-0.0012047123935836905,0.0008632418172632042,-0.33627314814814707,0.12231706433502504,-7.3400000000001455
2008,17,0.42191780821917807,9.058823529411764,2.6672433055893254,-0.0009486344660382783,0.0005221579684277012,-0.39988472964944394,0.22479725665546743,-4.509999999999991
2009,23,0.6191780821917808,9.826086956521738,3.1985346361303515,-0.0009556235416023563,0.00038678093185059786,-0.34390535214849277,0.20646638828011118,-3.6200000000001182
2010,25,0.6191780821917808,9.04,3.4348799105645598,-0.0009339043962384425,0.0005758643458297079,-0.34602065656564784,0.16784362092867913,-5.289999999999964
2011,20,0.5205479452054794,9.5,5.13322510708424,-0.0008837641131827778,0.0007811386334700736,-0.31589911616162364,0.18541695973411465,-7.430000000000064
2012,18,0.473972602739726,9.61111111111111,3.1471131196152324,-0.0006651464448406505,0.00038924645178209366,-0.2902150673400701,0.19195739291425612,-3.8400000000001455
2013,19,0.4383561643835616,8.421052631578947,1.7566651861345934,-0.0005921064305144624,0.00024632233967793155,-0.40680367585631816,0.28196968544106416,-2.1400000000001
2014,22,0.4958904109589041,8.227272727272727,1.856972565074136,-0.0005460924699141699,0.00017781009614900123,-0.24944047619048335,0.1912585298997196,-1.9500000000000455
2015,16,0.473972602739726,10.8125,5.445396564989551,-0.0005821730807854487,0.00040752462157992017,-0.18755686813186423,0.11463933115418361,-3.1700000000000728
2016,13,0.35342465753424657,9.923076923076923,2.6446328365647824,-0.0007829227309034918,0.0004775758883576944,-0.20423412698412344,0.08400384050267709,-3.4699999999998
2017,18,0.5232876712328767,10.61111111111111,4.309406879643762,-0.0007124137793121589,0.0003466825679948418,-0.28159589947091057,0.16230226013135948,-3.0
2018,20,0.5178082191780822,9.45,3.247691487810996,-0.000672003654695037,0.00029140488852766734,-0.2864955717893222,0.21054331912345176,-2.589999999999918
2019,11,0.29315068493150687,9.727272727272727,2.2998382983042758,-0.0011772210383253303,0.0007463616174451437,-0.3984621212121217,0.14803398191823702,-5.309999999999945
2020,17,0.4301369863013699,9.235294117647058,2.860057830857228,-0.000987061332808279,0.0005376215155705596,-0.39480602240896623,0.19810195889286797,-4.910000000000082
